Experiment_ID,Model,Model_Full_Name,Transfer_Learning_Mode,Initialization,Train_Dataset_A,Train_Dataset_B,Train_Combination,Test_Dataset_C,Train_A_Path,Train_B_Path,Test_C_Path,Train_Split,Validation_Split,Test_Split,Experiment_Description,Localization_F1,No_Damage_F1,Minor_Damage_F1,Major_Damage_F1,Destroyed_F1,Damage_Macro_F1,Overall_Score,Run_Status,Notes
HRTBDA_COMBO_0022,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,EARTHQUAKE-TURKEY,HURRICANE-IAN,EARTHQUAKE-TURKEY + HURRICANE-IAN,HURRICANE-DELTA,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-IAN,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-DELTA,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on EARTHQUAKE-TURKEY + HURRICANE-IAN, test on HURRICANE-DELTA",,,,,,,,Not started,
HRTBDA_COMBO_0023,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,EARTHQUAKE-TURKEY,HURRICANE-IAN,EARTHQUAKE-TURKEY + HURRICANE-IAN,HURRICANE-IAN,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-IAN,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-IAN,train,val,test,"Train HRTBDA from scratch on EARTHQUAKE-TURKEY + HURRICANE-IAN, test on HURRICANE-IAN",,,,,,,,Not started,
HRTBDA_COMBO_0024,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,EARTHQUAKE-TURKEY,HURRICANE-IAN,EARTHQUAKE-TURKEY + HURRICANE-IAN,HURRICANE-IAN,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-IAN,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-IAN,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on EARTHQUAKE-TURKEY + HURRICANE-IAN, test on HURRICANE-IAN",,,,,,,,Not started,
HRTBDA_COMBO_0025,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,EARTHQUAKE-TURKEY,HURRICANE-IAN,EARTHQUAKE-TURKEY + HURRICANE-IAN,HURRICANE-LAURA,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-IAN,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-LAURA,train,val,test,"Train HRTBDA from scratch on EARTHQUAKE-TURKEY + HURRICANE-IAN, test on HURRICANE-LAURA",,,,,,,,Not started,
HRTBDA_COMBO_0026,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,EARTHQUAKE-TURKEY,HURRICANE-IAN,EARTHQUAKE-TURKEY + HURRICANE-IAN,HURRICANE-LAURA,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-IAN,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-LAURA,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on EARTHQUAKE-TURKEY + HURRICANE-IAN, test on HURRICANE-LAURA",,,,,,,,Not started,
HRTBDA_COMBO_0027,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,EARTHQUAKE-TURKEY,HURRICANE-IAN,EARTHQUAKE-TURKEY + HURRICANE-IAN,MOUNT-SEMERU-ERUPTION,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-IAN,/homes/j244s673/documents/wsu/phd/dataset/MOUNT-SEMERU-ERUPTION,train,val,test,"Train HRTBDA from scratch on EARTHQUAKE-TURKEY + HURRICANE-IAN, test on MOUNT-SEMERU-ERUPTION",,,,,,,,Not started,
HRTBDA_COMBO_0028,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,EARTHQUAKE-TURKEY,HURRICANE-IAN,EARTHQUAKE-TURKEY + HURRICANE-IAN,MOUNT-SEMERU-ERUPTION,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-IAN,/homes/j244s673/documents/wsu/phd/dataset/MOUNT-SEMERU-ERUPTION,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on EARTHQUAKE-TURKEY + HURRICANE-IAN, test on MOUNT-SEMERU-ERUPTION",,,,,,,,Not started,
HRTBDA_COMBO_0029,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,EARTHQUAKE-TURKEY,HURRICANE-IAN,EARTHQUAKE-TURKEY + HURRICANE-IAN,STVINCENT-VOLCANO,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-IAN,/homes/j244s673/documents/wsu/phd/dataset/STVINCENT-VOLCANO,train,val,test,"Train HRTBDA from scratch on EARTHQUAKE-TURKEY + HURRICANE-IAN, test on STVINCENT-VOLCANO",,,,,,,,Not started,
HRTBDA_COMBO_0030,HRTBDA,High Resolution Transformer Building Damage Assessment,xBD Transfer Learning,xBD pretrained HRTBDA checkpoint,EARTHQUAKE-TURKEY,HURRICANE-IAN,EARTHQUAKE-TURKEY + HURRICANE-IAN,STVINCENT-VOLCANO,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-IAN,/homes/j244s673/documents/wsu/phd/dataset/STVINCENT-VOLCANO,train,val,test,"Initialize HRTBDA with xBD pretrained weights, fine-tune on EARTHQUAKE-TURKEY + HURRICANE-IAN, test on STVINCENT-VOLCANO",,,,,,,,Not started,
HRTBDA_COMBO_0031,HRTBDA,High Resolution Transformer Building Damage Assessment,No Transfer Learning,Random initialization,EARTHQUAKE-TURKEY,HURRICANE-IAN,EARTHQUAKE-TURKEY + HURRICANE-IAN,TEXAS-TORNADOES,/homes/j244s673/documents/wsu/phd/dataset/EARTHQUAKE-TURKEY,/homes/j244s673/documents/wsu/phd/dataset/HURRICANE-IAN,/homes/j244s673/documents/wsu/phd/dataset/TEXAS-TORNADOES,train,val,test,"Train HRTBDA from scratch on EARTHQUAKE-TURKEY + HURRICANE-IAN, test on TEXAS-TORNADOES",,,,,,,,Not started,
